ph_range;tds_range;temp_range;ph_range_result;tds_range_result;temp_range_result;normal;raw_normal
optimal;optimal;optimal;optimal;optimal;optimal;2;1
optimal;optimal;optimal;optimal;optimal;optimal;2;1
optimal;optimal;optimal;optimal;optimal;optimal;2;1
optimal;optimal;dingin;optimal;tinggi;dingin;1;1
optimal;optimal;dingin;optimal;optimal;dingin;1;1
optimal;optimal;dingin;optimal;optimal;dingin;1;1
optimal;optimal;optimal;optimal;optimal;optimal;2;1
optimal;optimal;optimal;optimal;optimal;optimal;2;1
optimal;optimal;optimal;optimal;optimal;optimal;2;1
optimal;optimal;dingin;optimal;optimal;dingin;1;1
optimal;optimal;optimal;optimal;optimal;optimal;2;1
optimal;optimal;optimal;optimal;optimal;optimal;2;1
optimal;optimal;optimal;optimal;optimal;optimal;2;1
optimal;optimal;optimal;optimal;optimal;optimal;2;1
optimal;optimal;optimal;optimal;optimal;optimal;2;1
optimal;optimal;dingin;optimal;optimal;dingin;1;1
optimal;optimal;optimal;optimal;optimal;optimal;2;1
optimal;optimal;optimal;optimal;optimal;optimal;2;1
optimal;optimal;optimal;optimal;optimal;optimal;2;1
optimal;optimal;optimal;optimal;optimal;optimal;2;1
optimal;optimal;optimal;optimal;optimal;optimal;2;1
optimal;optimal;optimal;optimal;optimal;optimal;2;1
optimal;optimal;optimal;optimal;optimal;optimal;2;1
optimal;optimal;optimal;optimal;optimal;optimal;2;1
optimal;optimal;optimal;optimal;optimal;optimal;2;1
optimal;optimal;dingin;optimal;optimal;dingin;1;1
optimal;optimal;optimal;optimal;optimal;optimal;2;1
optimal;optimal;optimal;optimal;optimal;optimal;2;1
optimal;optimal;dingin;optimal;optimal;dingin;1;1
optimal;optimal;dingin;optimal;optimal;dingin;1;1
optimal;optimal;dingin;optimal;optimal;dingin;1;1
optimal;optimal;optimal;optimal;optimal;optimal;2;1
optimal;optimal;optimal;optimal;optimal;optimal;2;1
optimal;optimal;optimal;optimal;optimal;optimal;2;1
optimal;optimal;dingin;optimal;optimal;dingin;1;1
optimal;optimal;optimal;optimal;optimal;optimal;2;1
optimal;optimal;optimal;optimal;optimal;optimal;2;1
optimal;optimal;optimal;optimal;optimal;optimal;2;1
optimal;optimal;optimal;optimal;optimal;optimal;2;1
optimal;optimal;optimal;optimal;optimal;optimal;2;1
optimal;optimal;dingin;optimal;optimal;dingin;1;1
optimal;optimal;dingin;optimal;optimal;dingin;1;1
optimal;optimal;optimal;optimal;optimal;optimal;2;1
optimal;optimal;dingin;optimal;optimal;dingin;1;1
optimal;optimal;dingin;optimal;optimal;dingin;1;1
optimal;optimal;optimal;optimal;optimal;optimal;2;1
optimal;optimal;dingin;optimal;optimal;dingin;1;1
optimal;optimal;optimal;optimal;optimal;optimal;2;1
optimal;optimal;dingin;optimal;optimal;dingin;1;1
optimal;optimal;optimal;optimal;optimal;optimal;2;1
optimal;optimal;dingin;optimal;optimal;dingin;1;1
optimal;optimal;dingin;optimal;optimal;dingin;1;1
optimal;optimal;dingin;optimal;optimal;dingin;1;1
optimal;optimal;dingin;optimal;optimal;dingin;1;1
optimal;optimal;optimal;optimal;optimal;optimal;2;1
